"id";"tmp";"cmd_id";"value";"cmd_name";"enno_serial";"device_name";"createdAt";"updatedAt"
1081844;2021-01-21 00:00:00;252;38.46;BT;"GHA";Hydraulic Unit;;
1081076;2021-01-21 00:00:00;249;58.65;FT;"GHA";Hydraulic Unit;;
1081075;2021-01-20 23:45:00;249;47.98;FT;"GHA";Hydraulic Unit;;
1081843;2021-01-20 23:45:00;252;31.85;BT;"GHA";Hydraulic Unit;;
1081074;2021-01-20 23:30:00;249;37.46;FT;"GHA";Hydraulic Unit;;
1081842;2021-01-20 23:30:00;252;35.89;BT;"GHA";Hydraulic Unit;;
1081841;2021-01-20 23:15:00;252;40.8;BT;"GHA";Hydraulic Unit;;
1081073;2021-01-20 23:15:00;249;43.12;FT;"GHA";Hydraulic Unit;;
1081072;2021-01-20 23:00:00;249;56.76;FT;"GHA";Hydraulic Unit;;
1081840;2021-01-20 23:00:00;252;44.34;BT;"GHA";Hydraulic Unit;;
1081839;2021-01-20 22:45:00;252;46.32;BT;"GHA";Hydraulic Unit;;
1081071;2021-01-20 22:45:00;249;60.48;FT;"GHA";Hydraulic Unit;;
1081838;2021-01-20 22:30:00;252;44.22;BT;"GHA";Hydraulic Unit;;
1081070;2021-01-20 22:30:00;249;59.22;FT;"GHA";Hydraulic Unit;;
1081069;2021-01-20 22:15:00;249;56.83;FT;"GHA";Hydraulic Unit;;
1081837;2021-01-20 22:15:00;252;43.37;BT;"GHA";Hydraulic Unit;;
1081836;2021-01-20 22:00:00;252;41.4;BT;"GHA";Hydraulic Unit;;
1081068;2021-01-20 22:00:00;249;56.37;FT;"GHA";Hydraulic Unit;;
1081067;2021-01-20 21:45:00;249;58.85;FT;"GHA";Hydraulic Unit;;
1081835;2021-01-20 21:45:00;252;44.78;BT;"GHA";Hydraulic Unit;;
1081066;2021-01-20 21:30:00;249;56.9;FT;"GHA";Hydraulic Unit;;
1081834;2021-01-20 21:30:00;252;44.76;BT;"GHA";Hydraulic Unit;;
1081833;2021-01-20 21:15:00;252;45.37;BT;"GHA";Hydraulic Unit;;
