"id";"tmp";"cmd_id";"value";"cmd_name";"enno_serial";"device_name";"createdAt";"updatedAt"
1070598;2021-01-01 01:00:00;263;53.48;FT;"GHB";Hydraulic Unit;;
1070599;2021-01-01 01:15:00;263;53.18;FT;"GHB";Hydraulic Unit;;
1070600;2021-01-01 01:30:00;263;51.48;FT;"GHB";Hydraulic Unit;;
1070601;2021-01-01 01:45:00;263;53.72;FT;"GHB";Hydraulic Unit;;
1070602;2021-01-01 02:00:00;263;54.26;FT;"GHB";Hydraulic Unit;;
1070603;2021-01-01 02:15:00;263;52.07;FT;"GHB";Hydraulic Unit;;
1070604;2021-01-01 02:30:00;263;48.71;FT;"GHB";Hydraulic Unit;;
1070605;2021-01-01 02:45:00;263;51.05;FT;"GHB";Hydraulic Unit;;
1070606;2021-01-01 03:00:00;263;50.96;FT;"GHB";Hydraulic Unit;;
1070607;2021-01-01 03:15:00;263;51.74;FT;"GHB";Hydraulic Unit;;
1070608;2021-01-01 03:30:00;263;50.3;FT;"GHB";Hydraulic Unit;;
1070609;2021-01-01 03:45:00;263;51.38;FT;"GHB";Hydraulic Unit;;
1070610;2021-01-01 04:00:00;263;53.15;FT;"GHB";Hydraulic Unit;;
1070611;2021-01-01 04:15:00;263;52.61;FT;"GHB";Hydraulic Unit;;
1070612;2021-01-01 04:30:00;263;53.47;FT;"GHB";Hydraulic Unit;;
1070613;2021-01-01 04:45:00;263;51.16;FT;"GHB";Hydraulic Unit;;
1070614;2021-01-01 05:00:00;263;52.04;FT;"GHB";Hydraulic Unit;;
1070615;2021-01-01 05:15:00;263;51.4;FT;"GHB";Hydraulic Unit;;
1070616;2021-01-01 05:30:00;263;50.88;FT;"GHB";Hydraulic Unit;;
1070617;2021-01-01 05:45:00;263;51.6;FT;"GHB";Hydraulic Unit;;
1070618;2021-01-01 06:00:00;263;52.84;FT;"GHB";Hydraulic Unit;;
1070619;2021-01-01 06:15:00;263;51.95;FT;"GHB";Hydraulic Unit;;
1070620;2021-01-01 06:30:00;263;47.74;FT;"GHB";Hydraulic Unit;;
1070621;2021-01-01 06:45:00;263;54.14;FT;"GHB";Hydraulic Unit;;
1070622;2021-01-01 07:00:00;263;50.13;FT;"GHB";Hydraulic Unit;;
1070623;2021-01-01 07:15:00;263;53.04;FT;"GHB";Hydraulic Unit;;
1070624;2021-01-01 07:30:00;263;51.07;FT;"GHB";Hydraulic Unit;;
1070625;2021-01-01 07:45:00;263;51.32;FT;"GHB";Hydraulic Unit;;
1070626;2021-01-01 08:00:00;263;51.26;FT;"GHB";Hydraulic Unit;;
1070627;2021-01-01 08:15:00;263;53.08;FT;"GHB";Hydraulic Unit;;
1070628;2021-01-01 08:30:00;263;50.95;FT;"GHB";Hydraulic Unit;;
1070629;2021-01-01 08:45:00;263;53.67;FT;"GHB";Hydraulic Unit;;
1070630;2021-01-01 09:00:00;263;51.28;FT;"GHB";Hydraulic Unit;;
1070631;2021-01-01 09:15:00;263;54.26;FT;"GHB";Hydraulic Unit;;
1070632;2021-01-01 09:30:00;263;51.18;FT;"GHB";Hydraulic Unit;;
1070633;2021-01-01 09:45:00;263;53.55;FT;"GHB";Hydraulic Unit;;
1070634;2021-01-01 10:00:00;263;53.23;FT;"GHB";Hydraulic Unit;;
1070635;2021-01-01 10:15:00;263;52.53;FT;"GHB";Hydraulic Unit;;
1070636;2021-01-01 10:30:00;263;52.45;FT;"GHB";Hydraulic Unit;;
1070637;2021-01-01 10:45:00;263;50.67;FT;"GHB";Hydraulic Unit;;
1070718;2021-01-01 01:00:00;263;53.48;FT;"GHB";Hydraulic Unit;;
1070719;2021-01-01 01:15:00;263;53.18;FT;"GHB";Hydraulic Unit;;
1070720;2021-01-01 01:30:00;263;51.48;FT;"GHB";Hydraulic Unit;;
1070721;2021-01-01 01:45:00;263;53.72;FT;"GHB";Hydraulic Unit;;
1070722;2021-01-01 02:00:00;263;54.26;FT;"GHB";Hydraulic Unit;;
1070723;2021-01-01 02:15:00;263;52.07;FT;"GHB";Hydraulic Unit;;
1070724;2021-01-01 02:30:00;263;48.71;FT;"GHB";Hydraulic Unit;;
1070725;2021-01-01 02:45:00;263;51.05;FT;"GHB";Hydraulic Unit;;
1070726;2021-01-01 03:00:00;263;50.96;FT;"GHB";Hydraulic Unit;;
1070727;2021-01-01 03:15:00;263;51.74;FT;"GHB";Hydraulic Unit;;
1070728;2021-01-01 03:30:00;263;50.3;FT;"GHB";Hydraulic Unit;;
1070729;2021-01-01 03:45:00;263;51.38;FT;"GHB";Hydraulic Unit;;
1070730;2021-01-01 04:00:00;263;53.15;FT;"GHB";Hydraulic Unit;;
1070731;2021-01-01 04:15:00;263;52.61;FT;"GHB";Hydraulic Unit;;
1070732;2021-01-01 04:30:00;263;53.47;FT;"GHB";Hydraulic Unit;;
1070733;2021-01-01 04:45:00;263;51.16;FT;"GHB";Hydraulic Unit;;
1070734;2021-01-01 05:00:00;263;52.04;FT;"GHB";Hydraulic Unit;;
1070735;2021-01-01 05:15:00;263;51.4;FT;"GHB";Hydraulic Unit;;
1070736;2021-01-01 05:30:00;263;50.88;FT;"GHB";Hydraulic Unit;;
1070737;2021-01-01 05:45:00;263;51.6;FT;"GHB";Hydraulic Unit;;
1070738;2021-01-01 06:00:00;263;52.84;FT;"GHB";Hydraulic Unit;;
1070739;2021-01-01 06:15:00;263;51.95;FT;"GHB";Hydraulic Unit;;
1070740;2021-01-01 06:30:00;263;47.74;FT;"GHB";Hydraulic Unit;;
1070741;2021-01-01 06:45:00;263;54.14;FT;"GHB";Hydraulic Unit;;
1070742;2021-01-01 07:00:00;263;50.13;FT;"GHB";Hydraulic Unit;;
1070743;2021-01-01 07:15:00;263;53.04;FT;"GHB";Hydraulic Unit;;
1070744;2021-01-01 07:30:00;263;51.07;FT;"GHB";Hydraulic Unit;;
1070745;2021-01-01 07:45:00;263;51.32;FT;"GHB";Hydraulic Unit;;
1070746;2021-01-01 08:00:00;263;51.26;FT;"GHB";Hydraulic Unit;;
1070747;2021-01-01 08:15:00;263;53.08;FT;"GHB";Hydraulic Unit;;
1070748;2021-01-01 08:30:00;263;50.95;FT;"GHB";Hydraulic Unit;;
1070749;2021-01-01 08:45:00;263;53.67;FT;"GHB";Hydraulic Unit;;
1070750;2021-01-01 09:00:00;263;51.28;FT;"GHB";Hydraulic Unit;;
1070751;2021-01-01 09:15:00;263;54.26;FT;"GHB";Hydraulic Unit;;
1070752;2021-01-01 09:30:00;263;51.18;FT;"GHB";Hydraulic Unit;;
1070753;2021-01-01 09:45:00;263;53.55;FT;"GHB";Hydraulic Unit;;
1070754;2021-01-01 10:00:00;263;53.23;FT;"GHB";Hydraulic Unit;;
1070755;2021-01-01 10:15:00;263;52.53;FT;"GHB";Hydraulic Unit;;
1070756;2021-01-01 10:30:00;263;52.45;FT;"GHB";Hydraulic Unit;;
1070757;2021-01-01 10:45:00;263;50.67;FT;"GHB";Hydraulic Unit;;
1070758;2021-01-01 11:00:00;263;51.85;FT;"GHB";Hydraulic Unit;;
1070759;2021-01-01 11:15:00;263;52;FT;"GHB";Hydraulic Unit;;
1070760;2021-01-01 11:30:00;263;53.54;FT;"GHB";Hydraulic Unit;;
1070761;2021-01-01 11:45:00;263;50.87;FT;"GHB";Hydraulic Unit;;
1070762;2021-01-01 12:00:00;263;51.19;FT;"GHB";Hydraulic Unit;;
1070763;2021-01-01 12:15:00;263;51.34;FT;"GHB";Hydraulic Unit;;
1070764;2021-01-01 12:30:00;263;43.61;FT;"GHB";Hydraulic Unit;;
1070765;2021-01-01 12:45:00;263;50.55;FT;"GHB";Hydraulic Unit;;
1070766;2021-01-01 13:00:00;263;52.61;FT;"GHB";Hydraulic Unit;;
1070767;2021-01-01 13:15:00;263;50.15;FT;"GHB";Hydraulic Unit;;
1070768;2021-01-01 13:30:00;263;50.02;FT;"GHB";Hydraulic Unit;;
1070769;2021-01-01 13:45:00;263;50.9;FT;"GHB";Hydraulic Unit;;
1070770;2021-01-01 14:00:00;263;51.59;FT;"GHB";Hydraulic Unit;;
1070771;2021-01-01 14:15:00;263;50.76;FT;"GHB";Hydraulic Unit;;
1070772;2021-01-01 14:30:00;263;53.21;FT;"GHB";Hydraulic Unit;;
1070773;2021-01-01 14:45:00;263;48.98;FT;"GHB";Hydraulic Unit;;
1070774;2021-01-01 15:00:00;263;50.8;FT;"GHB";Hydraulic Unit;;
1070775;2021-01-01 15:15:00;263;52.47;FT;"GHB";Hydraulic Unit;;
1070776;2021-01-01 15:30:00;263;50.61;FT;"GHB";Hydraulic Unit;;
1070777;2021-01-01 15:45:00;263;51.36;FT;"GHB";Hydraulic Unit;;
1070778;2021-01-01 16:00:00;263;54.17;FT;"GHB";Hydraulic Unit;;
1070779;2021-01-01 16:15:00;263;51.54;FT;"GHB";Hydraulic Unit;;
1070780;2021-01-01 16:30:00;263;49.07;FT;"GHB";Hydraulic Unit;;
1070781;2021-01-01 16:45:00;263;50.31;FT;"GHB";Hydraulic Unit;;
1070782;2021-01-01 17:00:00;263;51.8;FT;"GHB";Hydraulic Unit;;
1070783;2021-01-01 17:15:00;263;53.81;FT;"GHB";Hydraulic Unit;;
1070784;2021-01-01 17:30:00;263;52.34;FT;"GHB";Hydraulic Unit;;
1070785;2021-01-01 17:45:00;263;53.68;FT;"GHB";Hydraulic Unit;;
1070786;2021-01-01 18:00:00;263;51.34;FT;"GHB";Hydraulic Unit;;
1070787;2021-01-01 18:15:00;263;53.51;FT;"GHB";Hydraulic Unit;;
1070788;2021-01-01 18:30:00;263;51.49;FT;"GHB";Hydraulic Unit;;
1070789;2021-01-01 18:45:00;263;52.68;FT;"GHB";Hydraulic Unit;;
1070790;2021-01-01 19:00:00;263;51.89;FT;"GHB";Hydraulic Unit;;
1070791;2021-01-01 19:15:00;263;54.66;FT;"GHB";Hydraulic Unit;;
1070792;2021-01-01 19:30:00;263;50.16;FT;"GHB";Hydraulic Unit;;
1070793;2021-01-01 19:45:00;263;51.27;FT;"GHB";Hydraulic Unit;;
1070794;2021-01-01 20:00:00;263;50.43;FT;"GHB";Hydraulic Unit;;
1070795;2021-01-01 20:15:00;263;52.79;FT;"GHB";Hydraulic Unit;;
1070796;2021-01-01 20:30:00;263;52.64;FT;"GHB";Hydraulic Unit;;
1070797;2021-01-01 20:45:00;263;50.14;FT;"GHB";Hydraulic Unit;;
1070798;2021-01-01 21:00:00;263;51.63;FT;"GHB";Hydraulic Unit;;
1070799;2021-01-01 21:15:00;263;52.18;FT;"GHB";Hydraulic Unit;;
1070800;2021-01-01 21:30:00;263;53.98;FT;"GHB";Hydraulic Unit;;
1070801;2021-01-01 21:45:00;263;50.82;FT;"GHB";Hydraulic Unit;;
1070802;2021-01-01 22:00:00;263;52.1;FT;"GHB";Hydraulic Unit;;
1070803;2021-01-01 22:15:00;263;50.81;FT;"GHB";Hydraulic Unit;;
1070804;2021-01-01 22:30:00;263;52.3;FT;"GHB";Hydraulic Unit;;
1070805;2021-01-01 22:45:00;263;51.18;FT;"GHB";Hydraulic Unit;;
1070806;2021-01-01 23:00:00;263;53.82;FT;"GHB";Hydraulic Unit;;
1070807;2021-01-01 23:15:00;263;51.06;FT;"GHB";Hydraulic Unit;;
1070808;2021-01-01 23:30:00;263;52.74;FT;"GHB";Hydraulic Unit;;
1070809;2021-01-01 23:45:00;263;52.95;FT;"GHB";Hydraulic Unit;;
1070810;2021-01-02 00:00:00;263;52;FT;"GHB";Hydraulic Unit;;
1070811;2021-01-02 00:15:00;263;50.33;FT;"GHB";Hydraulic Unit;;
1070812;2021-01-02 00:30:00;263;51.74;FT;"GHB";Hydraulic Unit;;
1070813;2021-01-02 00:45:00;263;52.54;FT;"GHB";Hydraulic Unit;;
1070814;2021-01-02 01:00:00;263;52.7;FT;"GHB";Hydraulic Unit;;
1070815;2021-01-02 01:15:00;263;51.61;FT;"GHB";Hydraulic Unit;;
1070816;2021-01-02 01:30:00;263;51.1;FT;"GHB";Hydraulic Unit;;
1070817;2021-01-02 01:45:00;263;54.14;FT;"GHB";Hydraulic Unit;;
1070818;2021-01-02 02:00:00;263;51.93;FT;"GHB";Hydraulic Unit;;
1070819;2021-01-02 02:15:00;263;53.61;FT;"GHB";Hydraulic Unit;;
1070820;2021-01-02 02:30:00;263;53.92;FT;"GHB";Hydraulic Unit;;
1070821;2021-01-02 02:45:00;263;53.75;FT;"GHB";Hydraulic Unit;;
1070822;2021-01-02 03:00:00;263;51.93;FT;"GHB";Hydraulic Unit;;
1070823;2021-01-02 03:15:00;263;51.12;FT;"GHB";Hydraulic Unit;;
